"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"1993","04","AZ","Arizona",0.185,0.0095,757556,39113,,28427,1329
"1995","04","AZ","Arizona",0.163,0.006,722660,27047,,31736,1437
"1996","04","AZ","Arizona",0.163,0.01,741878,46065,,32708,1735
"1997","04","AZ","Arizona",0.155,0.01,720713,46056,,34751,1685
"1998","04","AZ","Arizona",0.149,0.0095,710652,45780,4764511,37281,1652
"1999","04","AZ","Arizona",0.128,0.0095,643045,47352,5027482,38642,1297
"2000","04","AZ","Arizona",0.125,0.0075,646762,39608,5194502,40437,1782
"2001","04","AZ","Arizona",0.132,0.008,703143,42134,5342423,41403,1461
"2002","04","AZ","Arizona",0.136,0.008,746145,45662,5485046,40724,1710
"2003","04","AZ","Arizona",0.139,0.008,783005,46497,5643394,41963,1406
"2004","04","AZ","Arizona",0.146,0.01,853587,57662,5842118,43696,1414
"2005","04","AZ","Arizona",0.144,0.003,836742,18329,5802687,44402,603
"2006","04","AZ","Arizona",0.142,0.003,860355,17502,6052140,47315,425
"2007","04","AZ","Arizona",0.141,0.0035,876120,20249,6225517,49923,491
"2008","04","AZ","Arizona",0.147,0.0035,935247,20084,6379305,51009,503
"2009","04","AZ","Arizona",0.165,0.0035,1065728,20577,6475512,48711,469
"2010","04","AZ","Arizona",0.176,0.004,1105075,22791,6272700,46787,509
"2011","04","AZ","Arizona",0.19,0.004,1201376,24847,6336450,46710,537
"2012","04","AZ","Arizona",0.187,0.003,1195931,18531,6401276,47796,583
"2013","04","AZ","Arizona",0.186,0.004,1206948,22841,6477186,48504,572
"2014","04","AZ","Arizona",0.182,0.003,1195889,20222,6573428,50036,475
"2015","04","AZ","Arizona",0.174,0.003,1159046,22380,6671708,51473,427
"2016","04","AZ","Arizona",0.164,0.003,1107153,20671,6771106,53481,618
"2017","04","AZ","Arizona",0.149,0.003,1023337,20564,6856072,56508,509
"2018","04","AZ","Arizona",0.141,0.003,990291,19677,7013461,59079,713
"2019","04","AZ","Arizona",0.135,0.003,963007,22865,7116300,62027,443
"2020","04","AZ","Arizona",0.128,0.004,932555,28428,7259760,64652,917
"2021","04","AZ","Arizona",0.129,0.003,919680,19331,7126989,68967,680
"1989","05","AR","Arkansas",0.179,0.007,417155,16297,,20729,1125
"1993","05","AR","Arkansas",0.189,0.01,461948,24558,,24019,1189
"1995","05","AR","Arkansas",0.182,0.0085,455776,20325,,26515,1406
"1996","05","AR","Arkansas",0.176,0.01,442445,25428,,27367,1684
"1997","05","AR","Arkansas",0.175,0.011,442856,27291,,27875,1641
"1998","05","AR","Arkansas",0.164,0.011,417961,27721,2544944,29212,1708
"1999","05","AR","Arkansas",0.151,0.01,395852,26135,2617823,31217,1369
"2000","05","AR","Arkansas",0.15,0.008,394960,20174,2634478,31496,1799
"2001","05","AR","Arkansas",0.159,0.008,419048,20528,2638565,32864,1468
"2002","05","AR","Arkansas",0.163,0.0085,435986,22877,2672831,32819,1684
"2003","05","AR","Arkansas",0.16,0.008,432240,21534,2693460,33445,1451
